lambda,case_A,case_B
665,0.036,0.16
666,0.036,0.159
667,0.036,0.159
668,0.036,0.158
669,0.037,0.158
670,0.037,0.158
671,0.037,0.158
672,0.038,0.158
673,0.039,0.158
674,0.039,0.159
675,0.04,0.159
676,0.041,0.16
677,0.042,0.16
678,0.0429,0.161
679,0.044,0.162
680,0.045,0.163
681,0.046,0.164
682,0.047,0.165
683,0.048,0.166
684,0.049,0.168
685,0.049,0.169
686,0.05,0.1719
687,0.0509,0.175
688,0.053,0.178
689,0.055,0.183
690,0.058,0.189
691,0.061,0.196
692,0.066,0.2039
693,0.072,0.213
694,0.08,0.223
695,0.088,0.235
696,0.098,0.247
697,0.109,0.26
698,0.122,0.274
699,0.135,0.289
700,0.15,0.303
701,0.165,0.318
702,0.181,0.333
703,0.197,0.3469
704,0.213,0.362
705,0.23,0.376
706,0.247,0.39
707,0.265,0.404
708,0.2829,0.418
709,0.301,0.431
710,0.319,0.445
711,0.338,0.458
712,0.358,0.471
713,0.377,0.485
714,0.397,0.497
715,0.417,0.51
716,0.438,0.522
717,0.459,0.535
718,0.479,0.547
719,0.5,0.558
720,0.521,0.5699
721,0.541,0.581
722,0.562,0.591
723,0.582,0.602
724,0.602,0.612
725,0.621,0.621
726,0.64,0.63
727,0.658,0.639
728,0.676,0.647
729,0.6929,0.655
730,0.709,0.663
731,0.724,0.67
732,0.739,0.676
733,0.753,0.682
734,0.766,0.6879
735,0.779,0.6939
736,0.791,0.699
737,0.801,0.703
738,0.812,0.708
739,0.821,0.712
740,0.83,0.716
741,0.838,0.719
742,0.845,0.723
743,0.852,0.726
744,0.858,0.728
745,0.864,0.731
746,0.869,0.733
747,0.873,0.735
748,0.877,0.737
749,0.881,0.739
750,0.884,0.74
751,0.886,0.742
752,0.889,0.743
753,0.891,0.744
754,0.893,0.745
755,0.895,0.746
756,0.897,0.747
757,0.898,0.748
758,0.899,0.749
759,0.9,0.749
760,0.901,0.75
761,0.902,0.751
762,0.902,0.751
763,0.903,0.752
764,0.903,0.753
765,0.904,0.753
766,0.904,0.754
767,0.904,0.754
768,0.904,0.755
769,0.905,0.755
770,0.905,0.756
771,0.905,0.756
772,0.905,0.757
773,0.905,0.757
774,0.905,0.758
775,0.905,0.758
776,0.905,0.758
777,0.906,0.759
778,0.906,0.759
779,0.906,0.76
780,0.906,0.76
781,0.906,0.761
782,0.906,0.761
783,0.906,0.762
784,0.907,0.762
785,0.907,0.763
786,0.907,0.763
787,0.907,0.764
788,0.907,0.764
789,0.907,0.765
790,0.908,0.765
791,0.908,0.766
792,0.908,0.766
793,0.908,0.767
794,0.908,0.767
795,0.908,0.768
796,0.908,0.768
797,0.909,0.769
798,0.909,0.769
799,0.909,0.77
800,0.909,0.77
801,0.909,0.771
802,0.91,0.771
803,0.91,0.772
804,0.91,0.772
805,0.91,0.773
806,0.91,0.773
807,0.91,0.774
808,0.911,0.774
809,0.911,0.775
810,0.911,0.776
811,0.911,0.776
812,0.912,0.776
813,0.912,0.777
814,0.912,0.777
815,0.912,0.778
816,0.912,0.778
817,0.912,0.778
818,0.912,0.778
819,0.912,0.779
820,0.913,0.78
821,0.913,0.78
822,0.913,0.78
823,0.913,0.781
824,0.913,0.781
825,0.913,0.782
826,0.913,0.782
827,0.914,0.782
828,0.914,0.782
829,0.914,0.783
830,0.914,0.783
831,0.914,0.783
832,0.914,0.784
833,0.914,0.784
834,0.914,0.784
835,0.915,0.785
836,0.915,0.785
837,0.915,0.785
838,0.915,0.786
839,0.915,0.786
840,0.916,0.786
841,0.916,0.787
842,0.916,0.787
843,0.916,0.787
844,0.916,0.788
845,0.916,0.788
846,0.917,0.788
847,0.917,0.789
848,0.917,0.789
849,0.917,0.789
850,0.917,0.789
851,0.917,0.79
852,0.917,0.79
853,0.918,0.79
854,0.918,0.791
855,0.918,0.791
856,0.918,0.791
857,0.918,0.791
858,0.919,0.792
859,0.919,0.792
860,0.919,0.792
861,0.919,0.792
862,0.919,0.793
863,0.919,0.793
864,0.919,0.793
865,0.919,0.793
866,0.919,0.794
867,0.919,0.794
868,0.92,0.794
869,0.92,0.794
870,0.92,0.795
871,0.92,0.795
872,0.92,0.795
873,0.92,0.795
874,0.92,0.795
875,0.92,0.796
876,0.921,0.796
877,0.921,0.796
878,0.921,0.796
879,0.921,0.796
880,0.921,0.797
881,0.921,0.797
882,0.921,0.797
883,0.921,0.797
884,0.921,0.798
885,0.921,0.798
886,0.922,0.798
887,0.922,0.798
888,0.922,0.799
889,0.922,0.799
890,0.922,0.799
891,0.922,0.799
892,0.922,0.799
893,0.923,0.8
894,0.923,0.8
895,0.923,0.8
896,0.923,0.8
897,0.923,0.8
898,0.923,0.801
899,0.923,0.801
900,0.923,0.801
901,0.923,0.801
902,0.924,0.801
903,0.924,0.802
904,0.924,0.802
905,0.924,0.802
906,0.924,0.802
907,0.924,0.803
908,0.925,0.803
909,0.925,0.803
910,0.925,0.803
911,0.925,0.803
912,0.925,0.804
913,0.925,0.804
914,0.925,0.804
915,0.925,0.804
916,0.925,0.804
917,0.925,0.805
918,0.926,0.805
919,0.926,0.805
920,0.926,0.805
921,0.926,0.805
922,0.926,0.805
923,0.926,0.806
924,0.926,0.806
925,0.926,0.805
926,0.926,0.806
927,0.926,0.806
928,0.926,0.806
929,0.925,0.806
930,0.925,0.806
931,0.925,0.805
932,0.925,0.805
933,0.925,0.805
934,0.924,0.805
935,0.925,0.805
936,0.924,0.805
937,0.924,0.805
938,0.924,0.805
939,0.924,0.805
940,0.923,0.805
941,0.923,0.804
942,0.923,0.804
943,0.922,0.804
944,0.922,0.804
945,0.922,0.803
946,0.921,0.803
947,0.92,0.802
948,0.92,0.802
949,0.919,0.802
950,0.919,0.801
951,0.918,0.8
952,0.917,0.8
953,0.916,0.799
954,0.916,0.799
955,0.915,0.798
956,0.914,0.798
957,0.914,0.797
958,0.913,0.797
959,0.912,0.797
960,0.912,0.796
961,0.912,0.796
962,0.912,0.796
963,0.911,0.796
964,0.911,0.796
965,0.911,0.797
966,0.911,0.797
967,0.911,0.797
968,0.911,0.797
969,0.911,0.797
970,0.911,0.797
971,0.911,0.797
972,0.912,0.798
973,0.912,0.798
974,0.912,0.798
975,0.912,0.799
976,0.912,0.799
977,0.913,0.799
978,0.913,0.8
979,0.913,0.8
980,0.914,0.801
981,0.914,0.801
982,0.914,0.801
983,0.915,0.802
984,0.915,0.802
985,0.916,0.803
986,0.916,0.803
987,0.917,0.804
988,0.917,0.805
989,0.918,0.805
990,0.919,0.806
991,0.919,0.806
992,0.919,0.807
993,0.92,0.807
994,0.921,0.808
995,0.921,0.809
996,0.921,0.809
997,0.922,0.81
998,0.923,0.811
999,0.924,0.811
1000,0.924,0.812
1001,0.901,0.783
1002,0.901,0.783
1003,0.901,0.783
1004,0.902,0.784
1005,0.902,0.784
1006,0.902,0.784
1007,0.902,0.785
1008,0.903,0.785
1009,0.903,0.785
1010,0.904,0.786
1011,0.904,0.786
1012,0.904,0.787
1013,0.905,0.787
1014,0.905,0.787
1015,0.906,0.788
1016,0.906,0.788
1017,0.907,0.789
1018,0.907,0.789
1019,0.908,0.79
1020,0.908,0.79
1021,0.908,0.79
1022,0.909,0.791
1023,0.909,0.791
1024,0.91,0.792
1025,0.91,0.792
1026,0.911,0.793
1027,0.911,0.793
1028,0.912,0.794
1029,0.912,0.794
1030,0.912,0.794
1031,0.913,0.795
1032,0.913,0.795
1033,0.913,0.796
1034,0.914,0.796
1035,0.914,0.796
1036,0.914,0.797
1037,0.915,0.797
1038,0.915,0.797
1039,0.915,0.798
1040,0.915,0.798
1041,0.915,0.798
1042,0.915,0.799
1043,0.916,0.799
1044,0.916,0.799
1045,0.916,0.799
1046,0.916,0.8
1047,0.917,0.8
1048,0.917,0.8
1049,0.917,0.801
1050,0.917,0.801
1051,0.918,0.801
1052,0.918,0.801
1053,0.918,0.802
1054,0.919,0.802
1055,0.919,0.802
1056,0.919,0.803
1057,0.919,0.803
1058,0.919,0.803
1059,0.919,0.803
1060,0.919,0.803
1061,0.92,0.803
1062,0.92,0.803
1063,0.92,0.804
1064,0.92,0.804
1065,0.92,0.804
1066,0.92,0.804
1067,0.921,0.804
1068,0.921,0.804
1069,0.921,0.804
1070,0.921,0.805
1071,0.921,0.805
1072,0.921,0.805
1073,0.921,0.805
1074,0.921,0.805
1075,0.922,0.805
1076,0.922,0.805
1077,0.922,0.805
1078,0.922,0.805
1079,0.922,0.805
1080,0.921,0.805
1081,0.921,0.805
1082,0.921,0.805
1083,0.921,0.805
1084,0.921,0.805
1085,0.921,0.805
1086,0.921,0.804
1087,0.921,0.804
1088,0.921,0.804
1089,0.921,0.804
1090,0.92,0.804
1091,0.92,0.804
1092,0.92,0.804
1093,0.92,0.803
1094,0.919,0.803
1095,0.919,0.803
1096,0.919,0.803
1097,0.919,0.803
1098,0.919,0.803
1099,0.919,0.803
1100,0.919,0.803
1101,0.919,0.803
1102,0.918,0.803
1103,0.918,0.802
1104,0.918,0.802
1105,0.918,0.802
1106,0.918,0.802
1107,0.917,0.802
1108,0.917,0.802
1109,0.917,0.802
1110,0.917,0.801
1111,0.916,0.801
1112,0.916,0.801
1113,0.916,0.801
1114,0.915,0.8
1115,0.915,0.8
1116,0.915,0.8
1117,0.914,0.8
1118,0.914,0.799
1119,0.914,0.799
1120,0.913,0.799
1121,0.913,0.798
1122,0.912,0.798
1123,0.912,0.798
1124,0.911,0.797
1125,0.91,0.796
1126,0.91,0.796
1127,0.909,0.795
1128,0.908,0.795
1129,0.907,0.794
1130,0.906,0.793
1131,0.905,0.792
1132,0.904,0.791
1133,0.903,0.79
1134,0.901,0.789
1135,0.899,0.787
1136,0.898,0.786
1137,0.896,0.784
1138,0.894,0.782
1139,0.892,0.78
1140,0.89,0.779
1141,0.888,0.777
1142,0.886,0.775
1143,0.883,0.773
1144,0.881,0.771
1145,0.879,0.769
1146,0.876,0.767
1147,0.874,0.765
1148,0.872,0.763
1149,0.87,0.761
1150,0.868,0.76
1151,0.866,0.758
1152,0.865,0.757
1153,0.863,0.756
1154,0.862,0.755
1155,0.86,0.754
1156,0.859,0.753
1157,0.858,0.752
1158,0.857,0.751
1159,0.856,0.751
1160,0.855,0.75
1161,0.855,0.75
1162,0.854,0.749
1163,0.853,0.749
1164,0.853,0.749
1165,0.852,0.748
1166,0.852,0.748
1167,0.851,0.748
1168,0.851,0.748
1169,0.851,0.747
1170,0.85,0.747
1171,0.85,0.747
1172,0.85,0.747
1173,0.849,0.747
1174,0.849,0.747
1175,0.849,0.747
1176,0.849,0.746
1177,0.848,0.746
1178,0.848,0.746
1179,0.848,0.746
1180,0.847,0.745
1181,0.847,0.745
1182,0.846,0.745
1183,0.846,0.745
1184,0.846,0.745
