lambda,case_A,case_B
1185,0.845,0.744
1186,0.845,0.744
1187,0.844,0.744
1188,0.844,0.744
1189,0.844,0.744
1190,0.844,0.743
1191,0.843,0.743
1192,0.843,0.743
1193,0.843,0.743
1194,0.843,0.743
1195,0.843,0.743
1196,0.843,0.743
1197,0.843,0.743
1198,0.843,0.743
1199,0.843,0.743
1200,0.843,0.743
1201,0.843,0.744
1202,0.843,0.744
1203,0.843,0.744
1204,0.843,0.744
1205,0.843,0.744
1206,0.843,0.744
1207,0.843,0.745
1208,0.844,0.745
1209,0.844,0.745
1210,0.844,0.745
1211,0.844,0.745
1212,0.844,0.746
1213,0.845,0.746
1214,0.845,0.746
1215,0.845,0.747
1216,0.846,0.747
1217,0.846,0.747
1218,0.846,0.747
1219,0.847,0.748
1220,0.847,0.748
1221,0.847,0.749
1222,0.848,0.749
1223,0.848,0.749
1224,0.848,0.75
1225,0.849,0.75
1226,0.849,0.75
1227,0.849,0.751
1228,0.85,0.751
1229,0.85,0.751
1230,0.85,0.751
1231,0.851,0.752
1232,0.851,0.752
1233,0.851,0.752
1234,0.852,0.753
1235,0.852,0.753
1236,0.852,0.753
1237,0.853,0.754
1238,0.853,0.754
1239,0.854,0.754
1240,0.854,0.755
1241,0.854,0.755
1242,0.855,0.755
1243,0.855,0.756
1244,0.855,0.756
1245,0.856,0.756
1246,0.856,0.756
1247,0.856,0.757
1248,0.856,0.757
1249,0.857,0.757
1250,0.857,0.757
1251,0.857,0.758
1252,0.857,0.758
1253,0.858,0.758
1254,0.858,0.758
1255,0.858,0.758
1256,0.858,0.758
1257,0.859,0.759
1258,0.859,0.759
1259,0.859,0.759
1260,0.859,0.759
1261,0.859,0.759
1262,0.859,0.759
1263,0.859,0.759
1264,0.859,0.759
1265,0.859,0.759
1266,0.859,0.76
1267,0.859,0.76
1268,0.859,0.76
1269,0.859,0.76
1270,0.859,0.76
1271,0.859,0.759
1272,0.859,0.759
1273,0.859,0.759
1274,0.859,0.759
1275,0.859,0.759
1276,0.859,0.759
1277,0.858,0.759
1278,0.858,0.759
1279,0.858,0.759
1280,0.858,0.758
1281,0.858,0.758
1282,0.857,0.758
1283,0.857,0.758
1284,0.857,0.757
1285,0.857,0.757
1286,0.856,0.757
1287,0.856,0.756
1288,0.856,0.756
1289,0.855,0.755
1290,0.855,0.755
1291,0.854,0.754
1292,0.854,0.754
1293,0.853,0.753
1294,0.852,0.753
1295,0.852,0.752
1296,0.851,0.752
1297,0.85,0.751
1298,0.85,0.75
1299,0.849,0.749
1300,0.848,0.749
1301,0.847,0.748
1302,0.846,0.747
1303,0.845,0.746
1304,0.844,0.745
1305,0.843,0.744
1306,0.842,0.743
1307,0.841,0.742
1308,0.84,0.741
1309,0.839,0.74
1310,0.837,0.739
1311,0.836,0.738
1312,0.834,0.736
1313,0.833,0.735
1314,0.831,0.734
1315,0.83,0.732
1316,0.828,0.731
1317,0.826,0.729
1318,0.825,0.728
1319,0.823,0.726
1320,0.821,0.725
1321,0.8189,0.723
1322,0.8169,0.722
1323,0.8149,0.72
1324,0.8129,0.718
1325,0.811,0.716
1326,0.808,0.714
1327,0.806,0.713
1328,0.804,0.711
1329,0.802,0.709
1330,0.799,0.707
1331,0.797,0.705
1332,0.794,0.703
1333,0.792,0.701
1334,0.789,0.699
1335,0.787,0.6959
1336,0.784,0.6939
1337,0.782,0.6919
1338,0.78,0.6899
1339,0.777,0.6879
1340,0.775,0.686
1341,0.772,0.684
1342,0.77,0.682
1343,0.767,0.681
1344,0.765,0.679
1345,0.763,0.677
1346,0.76,0.675
1347,0.758,0.673
1348,0.755,0.671
1349,0.753,0.669
1350,0.751,0.667
1351,0.748,0.665
1352,0.746,0.663
1353,0.744,0.661
1354,0.741,0.66
1355,0.739,0.658
1356,0.737,0.656
1357,0.734,0.654
1358,0.732,0.652
1359,0.73,0.65
1360,0.727,0.648
1361,0.725,0.646
1362,0.723,0.644
1363,0.72,0.642
1364,0.718,0.64
1365,0.715,0.638
1366,0.713,0.636
1367,0.71,0.634
1368,0.707,0.631
1369,0.704,0.629
1370,0.701,0.626
1371,0.6969,0.623
1372,0.6929,0.62
1373,0.6889,0.616
1374,0.684,0.612
1375,0.679,0.608
1376,0.673,0.603
1377,0.667,0.598
1378,0.66,0.593
1379,0.653,0.587
1380,0.645,0.581
1381,0.637,0.574
1382,0.628,0.5669
1383,0.619,0.56
1384,0.61,0.552
1385,0.6,0.544
1386,0.589,0.536
1387,0.579,0.528
1388,0.5679,0.519
1389,0.557,0.511
1390,0.545,0.502
1391,0.533,0.493
1392,0.521,0.483
1393,0.509,0.474
1394,0.497,0.465
1395,0.485,0.456
1396,0.473,0.447
1397,0.461,0.438
1398,0.45,0.43
1399,0.439,0.422
1400,0.428,0.414
1401,0.418,0.406
1402,0.4079,0.399
1403,0.398,0.392
1404,0.389,0.385
1405,0.38,0.379
1406,0.371,0.373
1407,0.364,0.367
1408,0.356,0.362
1409,0.3489,0.357
1410,0.342,0.352
1411,0.336,0.3479
1412,0.33,0.3439
1413,0.325,0.34
1414,0.319,0.336
1415,0.315,0.333
1416,0.31,0.33
1417,0.306,0.327
1418,0.302,0.324
1419,0.298,0.322
1420,0.294,0.319
1421,0.291,0.317
1422,0.288,0.315
1423,0.2849,0.313
1424,0.2819,0.311
1425,0.28,0.31
1426,0.277,0.308
1427,0.275,0.307
1428,0.273,0.305
1429,0.271,0.304
1430,0.269,0.303
1431,0.267,0.302
1432,0.266,0.301
1433,0.264,0.3
1434,0.263,0.299
1435,0.262,0.299
1436,0.26,0.298
1437,0.259,0.298
1438,0.258,0.297
1439,0.258,0.297
1440,0.257,0.296
1441,0.256,0.296
1442,0.256,0.295
1443,0.255,0.295
1444,0.255,0.295
